Number of ratings,Averaged user prediction error
91,0.70431964751
40,0.61917452601
151,1.20559968308
105,0.82173234628
94,1.05587289362
14,1.20715405748
150,0.44674125927
17,2.10555350988
202,0.64038755822
92,0.46358662254
49,0.64354037881
71,0.67965967148
32,1.15733439365
28,0.9602082147
65,0.55887027693
15,2.32885058915
161,0.55375759244
132,1.03098322276
405,0.40028393238
75,0.62074512248
481,0.49257633553
31,0.7315953496
14,0.81247408132
73,1.15009683979
16,0.30273370963
92,0.37501531343
40,0.78316852262
26,1.0706975498
97,0.5629338822
30,0.75190381036
64,1.15231875127
80,0.34343909863
40,2.15291022082
29,0.15396208117
288,1.35545880088
16,1.27155219662
105,0.28721698928
72,0.5593824038
43,0.69703068763
56,0.6053856566
43,0.79787068148
53,1.34652961666
22,0.60230639213
58,0.81362196512
68,0.78912619176
42,1.51161865806
30,2.25490594748
120,0.56158177644
13,0.25740444926
58,0.73793258037
50,0.67475450161
286,1.04138360688
319,0.76855092349
16,0.96571656623
292,0.42511598175
28,0.21891906878
16,0.49932036257
20,1.47966875513
47,0.70608863484
76,0.58542496248
76,0.65696242577
77,0.35309635643
308,0.37038292312
101,1.33323572946
351,0.55864010826
21,0.89232804502
19,2.04560975557
64,0.88683842468
82,1.74517457119
114,0.93057018792
12,1.12575705222
170,1.12744074555
144,1.01150706101
21,0.32393191908
156,0.9701733148
56,1.01278253907
120,1.01497626357
56,0.60559523722
537,0.51619948524
25,1.73828535521
21,1.1422382452
47,0.50222322733
167,0.44671665661
102,0.85787606181
69,0.77900220088
59,0.63423726207
87,0.70786010043
118,0.66678434693
57,1.38523385738
20,0.1989064373
37,0.40198758704
51,0.3071459349
23,1.28133104037
19,0.40024747867
40,0.28480344173
19,0.85730766942
12,1.19948866699
515,0.55928974327
9,0.61664532126
80,0.57501152644
40,0.76183811786
523,0.98789322924
85,0.49928653741
192,0.6459758827
64,1.07146103782
71,0.84126979603
184,0.66035890996
629,0.84599104841
14,0.32991667209
289,0.91414201961
42,2.33718885781
47,0.87661916006
35,1.13082932122
31,0.79395799798
33,0.60949860069
39,0.5252136197
13,0.46553035918
98,0.99767713678
43,0.64933952239
48,1.40195381411
61,1.17704227805
21,0.22239917569
161,0.49397431343
207,0.38258869787
104,0.61400185621
441,0.91430964943
37,1.11256017897
12,0.43813835099
41,2.35337214092
44,1.44996550776
49,1.19321641166
31,1.50275291946
89,1.39641022701
404,0.72358798297
33,1.00213241416
26,2.39878846299
279,0.78079502662
19,0.36058996498
168,0.53447068691
32,0.36631762818
48,2.12934213577
66,0.74293664916
33,0.90169697191
291,0.76943531835
79,0.81549947935
136,1.0419867504
577,0.70991931751
52,0.94577065945
20,0.6829241401
120,0.82378707288
31,0.73195737878
