Number of recommendations,PMF,NMF
1,0.14310515148,0.14524690701
2,0.22806663682,0.2189703758
3,0.29927038063,0.28207974002
4,0.35779320159,0.33780718808
5,0.40653659563,0.38254198616
6,0.44359014214,0.42124281096
7,0.47565921345,0.45265022647
8,0.50261240618,0.47752901841
9,0.52583880916,0.50175686392
10,0.5453858943,0.52149107698
